record_name,field_name,type,required_for_mark,required_for_research_grade,required_for_live_equivalence,simulation_level,measurement_grade,temporal_class,clock_domain,source_owner,nullable,quality_rule,notes,wall_clock_ms,monotonic_process_ms,chain_slot,block_time,stream_observed_ms,rpc_observed_ms,decision_ts_ms,submit_ts_ms,landing_ts_ms
common_envelope,schema,string,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,shadow_v2_contract,false,must match record kind,common to every V2 record,true,false,false,false,false,false,false,false,false
common_envelope,schema_version,u32,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,shadow_v2_contract,false,must be additive,version starts at 1,true,false,false,false,false,false,false,false,false
common_envelope,simulation_contract_version,string,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,shadow_v2_contract,false,must equal shadow_burnin_simulation_v2_20260629,contract identity,true,false,false,false,false,false,false,false,false
common_envelope,simulation_level,enum,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,shadow_v2_contract,false,must be explicit,MARK_ONLY|FILL_MODEL_STATIC|FILL_MODEL_CALIBRATED|LIVE_CONFIRMED,true,false,false,false,false,false,false,false,false
common_envelope,measurement_grade,enum,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,shadow_v2_contract,false,must be explicit,diagnostic and acceptance grade,true,false,false,false,false,false,false,false,false
common_envelope,run_id,string,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,runtime_context,false,non_empty,run identity,true,false,false,false,false,false,false,false,false
common_envelope,session_id,string,false,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,AT_DECISION,wall_clock_ms,oracle_runtime,true,required for research joins,session identity,true,false,false,false,false,false,false,false,false
common_envelope,candidate_id,string,false,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,AT_DECISION,wall_clock_ms,oracle_runtime,true,required when available,candidate identity,true,false,false,false,false,false,false,false,false
common_envelope,position_id,string,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,AT_DECISION,wall_clock_ms,shadow_v2_contract,false,stable and unique,canonical position identity,true,false,false,false,false,false,false,false,false
common_envelope,event_id,string,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,shadow_v2_contract,false,stable and unique,canonical event identity,true,false,false,false,false,false,false,false,false
common_envelope,parent_event_id,string,false,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,shadow_v2_contract,true,must not create cycles,parent event reference,true,false,false,false,false,false,false,false,false
common_envelope,source_event_id,string,false,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,shadow_v2_contract,true,points to source evidence,source event reference,true,false,false,false,false,false,false,false,false
common_envelope,pool_id,string,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,PRE_DECISION,chain_slot,oracle_runtime,false,non_empty,pool identity,false,false,true,false,false,false,false,false,false
common_envelope,base_mint,string,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,PRE_DECISION,chain_slot,oracle_runtime,false,non_empty,base mint identity,false,false,true,false,false,false,false,false,false
common_envelope,bonding_curve,string,false,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,PRE_DECISION,chain_slot,oracle_runtime,true,required when known,bonding curve address,false,false,true,false,false,false,false,false,false
common_envelope,produced_at_ms,u64,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,writer,false,clock domain required,record production wall clock,true,false,false,false,false,false,false,false,false
common_envelope,produced_at_slot,u64,false,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,chain_slot,writer,true,required if chain sourced,record production slot,false,false,true,false,false,false,false,false,false
common_envelope,temporal_class,enum,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,shadow_v2_contract,false,no UNKNOWN for strategy features and constructors must not silently overwrite,temporal availability,true,false,false,false,false,false,false,false,false
common_envelope,clock_domain,enum,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,shadow_v2_contract,false,must be explicit and constructors must not silently overwrite,record primary clock domain,true,false,false,false,false,false,false,false,false
common_envelope,source_refs,list,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,writer,false,must identify evidence,source artifact references,true,false,false,false,false,false,false,false,false
common_envelope,quality,string,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,writer,false,must be typed,quality label,true,false,false,false,false,false,false,false,false
common_envelope,limitations,list,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,wall_clock_ms,writer,false,must list gaps,limitations and blockers,true,false,false,false,false,false,false,false,false
event_order_key,slot,EventOrderComponent<u64>,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,chain_slot,stream_or_rpc,false,KNOWN(slot) required for research-ready or UNKNOWN blocks research-ready,chain slot with explicit UNKNOWN wrapper,false,false,true,false,false,false,false,false,false
event_order_key,block_time,EventOrderComponent<i64>,false,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,block_time,stream_or_rpc,false,KNOWN(block_time) or UNKNOWN; not a replacement for observation time,chain block time with explicit UNKNOWN wrapper,false,false,false,true,false,false,false,false,false
event_order_key,signature,EventOrderComponent<string>,false,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,chain_slot,stream_or_rpc,false,KNOWN(non_empty signature) or UNKNOWN; missing field is schema-invalid,transaction signature with explicit UNKNOWN wrapper,false,false,true,false,false,false,false,false,false
event_order_key,transaction_index_or_unknown,EventOrderComponent<u32>,false,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,chain_slot,stream_or_rpc,false,KNOWN(index) or UNKNOWN; missing field is schema-invalid,transaction index with explicit UNKNOWN wrapper,false,false,true,false,false,false,false,false,false
event_order_key,instruction_index_or_unknown,EventOrderComponent<u32>,false,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,chain_slot,stream_or_rpc,false,KNOWN(index) or UNKNOWN; missing field is schema-invalid,instruction index with explicit UNKNOWN wrapper,false,false,true,false,false,false,false,false,false
event_order_key,inner_instruction_index_or_unknown,EventOrderComponent<u32>,false,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,chain_slot,stream_or_rpc,false,KNOWN(index) or UNKNOWN; missing field is schema-invalid,inner instruction index with explicit UNKNOWN wrapper,false,false,true,false,false,false,false,false,false
event_order_key,log_index_or_unknown,EventOrderComponent<u32>,false,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,chain_slot,stream_or_rpc,false,KNOWN(index) or UNKNOWN; missing field is schema-invalid,log index with explicit UNKNOWN wrapper,false,false,true,false,false,false,false,false,false
event_order_key,event_seq_in_process,u64,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,monotonic_process_ms,process,false,must be monotonic,local process ordering,false,true,false,false,false,false,false,false,false
event_order_key,observed_at_wall_ms,u64,true,true,true,MARK_ONLY,DIAGNOSTIC_ONLY,UNKNOWN,stream_observed_ms,process,false,must be present,local observation time,false,false,false,false,true,false,false,false,false
